Timestamp,JX,JY,B1_Dur,B2_Dur,Grip,Pitch,Roll,FSR_L_KG,FSR_R_KG,FSR_L_Newton,FSR_R_Newton,Fatigue_Live_KG,Vib_Active,Servo_Angle,Tremor_Flag,Tremor_Var,UI_Mode,FS_Up,FS_Down,FS_Left,FS_Right,FS_Trigger,FS_Thumb
1781253616.472,0,0,0,0,0,1.83,-4.65,0.0216,0.0,0.2122,0.0,0.0216,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.495,0,0,0,0,0,7.56,-19.25,0.058,0.0,0.5685,0.0,0.0398,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.515,0,0,0,0,0,15.19,-38.67,0.0826,0.0,0.8107,0.0,0.0541,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.539,0,0,0,0,0,21.52,-54.81,0.0994,0.0,0.9753,0.0,0.0654,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.558,0,0,0,0,0,25.6,-65.21,0.1108,0.0,1.0871,0.0,0.0745,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.624,0,0,0,0,0,27.61,-70.41,0.1186,0.0,1.1631,0.0,0.0818,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.629,0,0,0,0,0,28.15,-72.04,0.1238,0.0,1.2148,0.0,0.0878,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.632,0,0,0,0,0,27.91,-71.73,0.1274,0.0,1.2499,0.0,0.0928,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.65,0,0,0,0,0,27.42,-70.68,0.1298,0.0,1.2737,0.0,0.0969,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.675,0,0,0,0,0,26.97,-69.59,0.1315,0.0,1.29,0.0,0.1004,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.699,0,0,0,0,0,26.65,-68.77,0.1326,0.0,1.301,0.0,0.1033,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.723,0,0,0,0,0,26.44,-68.27,0.1334,0.0,1.3085,0.0,0.1058,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.748,0,0,0,0,0,26.3,-68.03,0.1339,0.0,1.3136,0.0,0.108,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.772,0,0,0,0,0,26.21,-67.96,0.1343,0.0,1.317,0.0,0.1098,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.797,0,0,0,0,0,26.14,-67.96,0.1345,0.0,1.3194,0.0,0.1115,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.815,0,0,0,0,0,26.01,-67.98,0.1347,0.0,1.321,0.0,0.1129,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.839,0,0,0,0,0,25.81,-68.01,0.1348,0.0,1.322,0.0,0.1142,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.858,0,0,0,0,0,25.65,-68.01,0.1348,0.0,1.3228,0.0,0.1154,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.882,0,0,0,0,0,25.55,-67.99,0.1349,0.0,1.3233,0.0,0.1164,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.906,0,0,0,0,0,25.51,-67.95,0.1349,0.0,1.3236,0.0,0.1173,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.932,0,0,0,0,0,25.5,-67.9,0.1349,0.0,1.3239,0.0,0.1182,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.951,0,0,0,0,0,25.5,-67.83,0.135,0.0,1.324,0.0,0.1189,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.974,0,0,0,0,0,25.5,-67.75,0.135,0.0,1.3241,0.0,0.1196,0,90,0,0.0,0,0,0,0,0,0,0
1781253616.993,0,0,0,0,0,25.49,-67.67,0.135,0.0,1.3242,0.0,0.1203,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.018,0,0,0,0,0,25.33,-67.57,0.135,0.0,1.3242,0.0,0.1208,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.042,0,0,0,0,0,24.88,-67.47,0.135,0.0,1.3243,0.0,0.1214,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.066,0,0,0,0,0,24.29,-67.35,0.135,0.0,1.3243,0.0,0.1219,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.091,0,0,0,0,0,23.8,-67.24,0.135,0.0,1.3243,0.0,0.1224,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.109,0,0,0,0,0,23.48,-67.12,0.135,0.0,1.3243,0.0,0.1228,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.135,0,0,0,0,0,23.29,-67.02,0.135,0.0,1.3243,0.0,0.1232,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.154,0,0,0,0,0,23.19,-66.94,0.135,0.0,1.3243,0.0,0.1236,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.177,0,0,0,0,0,23.17,-66.86,0.135,0.0,1.3243,0.0,0.1239,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.202,0,0,0,0,0,23.15,-66.78,0.135,0.0,1.3243,0.0,0.1243,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.227,0,0,0,0,0,23.0,-66.67,0.135,0.0,1.3243,0.0,0.1246,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.245,0,0,0,0,0,22.75,-66.54,0.135,0.0,1.3243,0.0,0.1249,0,90,0,0.0,0,0,0,0,0,0,0
1781253617.269,0,0,0,0,0,22.52,-66.4,0.135,0.0,1.3243,0.0,0.1252,0,90,0,0.0,0,0,0,0,0,0,0
